id	classId	choicePrereqId	name	lvlReq	spellId	featId	description
180	10	345	Enchanting Smile (su)	1	NULL	NULL	You gain a +2 enhancement bonus on Bluff, Diplomacy, and Intimidate skill checks, increasing by an additional +1 for every five Wizard levels you possess. At 20th level, whenever you succeed at a savingg throww against a spell of the enchantment school, that spell is reflected back at its caster, as per spell turning.
181	10	345	Dazing Touch (sp)	1	NULL	NULL	You can cause a living creature to become dazed for 1 round as a melee touch attack. Creatures with more Hit Dice than your wizard level are unaffected.You can use this ability a number of times per day equal to 3+ your Intelligence modifier.
182	10	345	Aura of Despair (su)	8	NULL	NULL	You can emit a 30-foot aura of despaiir for a number of rounds per day equal to your wizard level. Enemies within this aura take a -2 penalty on ability checks, attack rolls, damage rolls, savingg throws, and skill checks. These rounds do not need to be consecutive. This is a mind-altering affect.
183	10	346	Intense Spells (su)	1	NULL	NULL	Whenever you cast an evocation spell that deals damage, add 1/2 your wizard level to the damage (minimum +1). This bonus damage is not increased by Empower Spell or similar effects. This only applies once per spell, not once per missile or ray, and cannot be split between multiple missiles or rays. This damage is of the same type as the spell. At 20th level, whenever you cast an evocation spell you can roll twice to penetrate a creature's spell resistance and take the better result.
184	10	346	Force Missile (sp)	1	NULL	NULL	As a standard action you can unleash a force missile that automattically strikes a foe, as magic missile. The force missile deals 1d4 points of damage plus the damage from your intense spells evocation power. You can use this ability a number of times per day equal to 3+ your Intelligence modifier.
185	10	346	Elemental Wall (sp)	8	NULL	NULL	You can create a wall of energy that lasts for a number of rounds per day equal to your wizard level. These rounds do not need to be consecutive. This wall deals acid, cold, electricity, or fire damage, determined when you create it. The elemental wall otherwise functions like wall of fire.
186	10	347	Extended Illusions (su)	1	NULL	NULL	Any illusion spell you cast with a duration of 'concentration' lasts a number of additional rounds equal to 1/2 your wizard level after you stop maintaining concentration (minimum +1 round). At 20th level, you can make one illusion spell with a duration of 'concentration' become permanent. Only one spell can be permanent at a time.
187	10	347	Blinding Ray (sp)	1	NULL	NULL	As a standard action you can fire a shimmering ray at any foe within 30 feet as a ranged touch attack. The ray causes creatures to be blinded for 1 round. Creatures with more Hit Dice than your Wizard level are dazzled for 1 round instead. You can use this ability a number of times equal to 3+ your Intelligence modifier.
188	10	347	Invisibility Field (sp)	8	NULL	NULL	You can make yourself invisible as a swift action for a number of rounds equal to your wizard level. These rounds do not need to be consecutive. Otherise functions as greater invisiblity.
189	10	348	Power over Undead (su)	1	NULL	NULL	Take Command Undead or Turn Undead as a bonus feat. You can channel energy a number of times per day equal to 3+ your Intelligence modifier, but only to use this bonus feat. You may take other feats to add to this ability, like Extra Channel or Improved Channel, but not feats that alter this ability. For the DC of these saves, use your wizard level instead of your cleric level. At 20th level, undead cannot add their channel resist to the save against this ability.
190	10	348	Grave Touch (sp)	1	NULL	NULL	As a standard action, you can make a melee touch attack that causes a living creature to become shaken for a number of rounds equal to 1/2 your wizard level (minimum 1). If you touch a shaken creature they become frightened for 1 round, if they have fewer Hit Dice than your wizard level. You can use this ability a number of times equal to 3 + your Intelligence modifier.
191	10	348	Life Sight (su)	8	NULL	NULL	You gain blindsight to a range of 10 feet for a number of rounds per day equal to your wizard level. This ability only allows you to detect living creatures and undead creatures. This sight also tells whether a creature is living or undead. The range increases by 10 feet at 12th level, and an additional 10 feet for every four levels beyond 12th. These rounds do not need to be consecutive.
192	10	349	Physical Enhancement (su)	1	NULL	NULL	You gain a +1 enhancement bonus to one phisical ability score (Strength, Dexterity, or Constitution). This bonus increases by +1 for every five wizard levels you possess to a maximum as +5 at 20th level. You can change this bonus to a new ability score when you prepare spells. At 20th level this applies to two physical ability scores at a time.
193	10	349	Telekinetic Fist (sp)	1	NULL	NULL	As a standard action you can strike with a telekinetic fist, targeting any foe within 30 feet as a ranged touch attack. The telekinetic fist deals 1d4 points of bludgeoning damage + 1 for every two wizard levels you possess. You can use this ability a number of times per day equal to 3 + your Intelligence modifier.
194	10	349	Change Shape (sp)	8	NULL	NULL	You can change your shape for a number of rounds per day equal to your wizard level. These rounds do not need to be consecutive. This ability otherwise functions like Beast Shape II or Elemental Body I. At 12th level, this ability functions like Beast Shape III or Elemental Body II.
195	10	350	Hand of the Apprentice (su)	1	NULL	NULL	You cause your melee weapon to fly from your grasp and strike a foe before instantly returning to you. As a standard action, you can make a single attack using a melee weapon at a range of 30 feet. This attack is treated as a ranged attack with a thrown weapon, except that you add your Intelligence modifier on the attack roll instead of your Dexterity modifier (damage still relies on Strength). This ability cannot be used to perform a combat maneuver. You can use this ability a number of times per day equal to 3 + your Intelligence modifier.
196	10	350	Metamagic Mastery (su)	8	NULL	NULL	You can apply any one metamagic feat that you know to a spell you are about to cast. This does not alter the level of the spell or the casting time. You can use this ability once per day at 8th level, and one additional time per day for every two wizard levels you possess beyond 8th. Any time you use this ability to apply a metamagic feat that increases the spell level by more than 1, you must use an additional daily usage for each level above 1 that the feat adds to the spell. Even though this ability does not modify the spell's actual level, you cannot use this ability to cast a spell whose modified spell level would be above the level of the highest-level spell that you are capable of casting.
197	2	37	Lightning Arc (sp)	1	NULL	NULL	As a standard action you can unleaash an arc of electricity targeting any foe within 30 feet as a ranged touch attack. This arc deals 1d6 points of electricity damage + 1 for every two cleric levels you possess. You can use this ability a number of days equal to 3 + your Wisdom modifier.
198	2	37	Electricity Resistance (ex)	6	NULL	NULL	You gain resist electricity 10, increasing to 20 at 12th level, and becomess immunity to electricity at 20th level.
199	2	37	Obscuring Mist spell	1	320	NULL	Your domain has granted you the Obscuring Mist spell
200	2	37	Wind Wall spell	2	1572	NULL	Your domain has granted you the Wind Wall spell
201	2	37	Gaseous Form spell	3	1245	NULL	Your domain has granted you the Gaseous Form spell
202	2	37	Air Walk spell	4	1588	NULL	Your domain has granted you the Air Walk spell
203	2	37	Control Winds spell	5	2084	NULL	Your domain has granted you the Control Winds spell
204	2	37	Chain Lightning spell	6	2400	NULL	Your domain has granted you the Chain Lightning spell
205	2	37	Elemental Body IV spell (air only)	7	2655	NULL	Your domain has granted you the Elemental Body IV spell (air only)
206	2	37	Whirlwind spell	8	4895	NULL	Your domain has granted you the Whirlwind spell
207	2	37	Elemental Swarm spell (air only)	9	4912	NULL	Your domain has granted you the Elemental Swarm spell (air only)
208	2	38	Speak with Animals (sp)	1	NULL	NULL	You can speak with animals, as per teh spell, for a number of rounds per day equal to 3 + your cleric level
209	2	38	Animal Companion (ex)	4	NULL	NULL	You fain the service of an animal companion. Your effective druid level for this companion is equal to your cleric level - 3.
210	2	38	Calm Animals spell	1	110	NULL	Your domain has granted you the Calm Animals spell
211	2	38	Hold Animal spell	2	733	NULL	Your domain has granted you the Hold Animal spell
212	2	38	Dominate Animal spell	3	1187	NULL	Your domain has granted you the Dominate Animal spell
213	2	38	Summmon Nature's Ally IV spell (animals only)	4	1964	NULL	Your domain has granted you the Summon Nature's Ally IV spell (animals only)
214	2	38	Beast Shape III spell (animals only)	5	2037	NULL	Your domain has granted you the Beast Shape III spell (animals only)
215	2	38	Antilife Shell spell	6	2382	NULL	Your domain has granted you the Antilife Shell spell
216	2	38	Animal Shapes spell	7	2793	NULL	Your domain has granted you the Animal Shapes spell
217	2	38	Summon Nature's Ally VIII spell (animals only)	8	4875	NULL	Your domain has granted you the Summon Nature's Ally VIII spell (animals only)
218	2	38	Shapechange spell	9	4966	NULL	Your domain has granted you the Shapechange spell
219	2	39	Artificer's Touch (sp)	1	NULL	NULL	You can cast mending at will, using your cleric level as the caster level to repair damaged objects. In addition, you cause damage to objects and construct creatures by striking them with a melee touch attack. Objects and constructs take 1d6 points of damage +1 for every two cleric levels you possess. This attack bypasses an amount of damage reduction and hardness equal to your cleric level. You can usse this ability a number of times per day equal to 3 + your Wisdom modifier.
220	2	39	(ex)	8	NULL	NULL	You can give a weapon touched the dancing special weapon quality for 4 rounds. You can use this ability once per day at 8th level, and an additional time per day for every four levels beyond 8th.
221	2	39	Animate Rope spell	1	66	NULL	Your domain has granted you the Animate Rope spell
222	2	39	Wood Shape spell	2	1050	NULL	Your domain has granted you the Wood Shape spell
223	2	39	Stone Shape spell	3	1958	NULL	Your domain has granted you the Stone Shape spell
224	2	39	Minor Creation spell	4	1858	NULL	Your domain has granted you the Minor Creation spell
225	2	39	Fabricate spell	5	190	NULL	Your domain has granted you the Fabricate spell
226	2	39	Major Creation spell	6	2204	NULL	Your domain has granted you the Major Creation spell
227	2	39	Wall of Iron spell	7	2616	NULL	Your domain has granted you the Wall of Iron spell
228	2	39	Statue spell	8	2764	NULL	Your domain has granted you the Statue spell
229	2	39	Prismatic Sphere spell	9	4953	NULL	Your domain has granted you the Prismatic Sphere spell
230	2	40	Touch of Chaos (sp)	1	NULL	NULL	You can imbue a target with chaos as a melee touch attack. For the next round, anytime the target rolls a d20 he must roll twice and take the less favorable result. You can use this ability a number of times per day equal to 3 + your Wisdom modifier.
231	2	40	Chaoss Blade (su)	8	NULL	NULL	You can give a weaon touched the anarchic special weapon quality for a number of rounds equal to 1/2 your Cleric level. You can use this ability once per day at 8th level, and an additional time per day for every four levels beyond 8th.
232	2	40	Protection from Law spell	1	343	NULL	Your domain has granted you the Protection from Law spell
233	2	40	Align Weapon spell (Chaos only)	2	476	NULL	Your domain has granted you the Align Weapon spell (Chaos only)
234	2	40	Magic Circle Against Law spell	3	1335	NULL	Your domain has granted you the Magic Circle Against Law spell
235	2	40	Chaos Hammer spell	4	1651	NULL	Your domain has granted you the Chaos Hammer spell
236	2	40	Dispel Law spell	5	2105	NULL	Your domain has granted you the Dispel Law spell
237	2	40	Animate Objects spell	6	2381	NULL	Your domain has granted you the Animate Objects spell
238	2	40	Word of Chaos spell	7	2792	NULL	Your domain has granted you the Word of Chaos spell
239	2	40	Cloak of Chaos spell	8	3796	NULL	Your domain has granted you the Cloak of Chaos spell
240	2	40	Summon Monster IX spell (chaos spell only)	9	4975	NULL	Your domain has granted you the Summon Monster IX spell (chaos spell only)
241	2	41	Dazing Touch (sp)	1	NULL	NULL	You can cause a livingg creaturre to become dazed for 1 round as a melee touch attack. Creatures with more Hit Dice than your Cleric level are unaffected. You can use this ability a number of times per day equal to 3 + your Wisdom modifier.
242	2	41	Charming Smile (sp)	8	NULL	NULL	You can cast Charm Person as a swift action, with a DC of 10 + 1/2 your Cleric level + your Wisdom modifier. You can only have one creature charmed this way at a time. The total number of roundss of this effect per day is equal to your Cleric level, these rounds do not need to be consecutive, and you can dismiss the charm at any time as a free action. Each attempt to use this ability consumes 1 round of its duration, whether it is successful or not.
243	2	41	Charm Person spell	1	118	NULL	Your domain has granted you the Charm Person spell
244	2	41	Calm Emotions spell	2	551	NULL	Your domain has granted you the Calm Emotions spell
245	2	41	Suggetsion spell	3	1507	NULL	Your domain has granted you the Suggetsion spell
246	2	41	Heroism spell	4	1276	NULL	Your domain has granted you the Heroism spell
247	2	41	Charm Monster spell	5	1652	NULL	Your domain has granted you the Charm Monster spell
248	2	41	Geas/Quest spell	6	2455	NULL	Your domain has granted you the Geas/Quest spell
249	2	41	Insanity spell	7	2695	NULL	Your domain has granted you the Insanity spell
250	2	41	Demand spell	8	4797	NULL	Your domain has granted you the Demand spell
251	2	41	Dominate Monster spell	9	4909	NULL	Your domain has granted you the Dominate Monster spell
252	2	42	Calming Touch (sp)	1	NULL	NULL	You can touch a creature as a standard action to heal it for 1d6 points of nonlethal damage + 1 point per Cleric level. This touch also removes the fatigued, shaken, and sickened conditions (but has no effect on more severe conditions). You can use this ability a number of times per day equal to 3 + your Wisdom modifier.
253	2	42	Unity (ex)	8	NULL	NULL	Whenever a spell effect targets you and one or more allies within 30 feet, as an immediate action you can use this ability to allow your allies to use your saving throw against the effect in place of their own. Each ally must decide individually before the rolls are made. You can use this ability once per day at 8th level, and one additional time per day for every four Cleric levels beyond 8th.
254	2	42	Bless spell	1	86	NULL	Your domain has granted you the Bless spell
255	2	42	Shield Other spell	2	920	NULL	Your domain has granted you the Shield Other spell
256	2	42	Prayer spell	3	1392	NULL	Your domain has granted you the Prayer spell
257	2	42	Imbue with Spell Ability spell	4	1806	NULL	Your domain has granted you the Imbue with Spell Ability spell
258	2	42	Telepathic Bond spell	5	2333	NULL	Your domain has granted you the Telepathic Bond spell
259	2	42	Heroes' Feast spell	6	2484	NULL	Your domain has granted you the Heroes' Feast spell
260	2	42	Refuge spell	7	4956	NULL	Your domain has granted you the Refuge spell
261	2	42	Mass Cure Critical Wounds spell	8	4837	NULL	Your domain has granted you the Mass Cure Critical Wounds spell
262	2	42	Miracle spell	9	4948	NULL	Your domain has granted you the Miracle spell
263	2	43	Blind-Fight feat	1	NULL	15	Your domain has granted you the Blind-Fight feat
264	2	43	Touch of Darkness (sp)	1	NULL	NULL	As a melee touch attack, you can cause a creature's vision to be fraught with shadows and darkness. The creature touched treats all other creatures as if they had concealment, suffering a 20% miss chance on all attack rolls. This effect lasts for a number of rounds equal to 1/22 your Cleric level (minimum 1). You can use this ability a number of times per day equal to 3 + your Wisdom modifier.
265	2	43	Eyes of Darkness (su)	8	NULL	NULL	Your vision is not impaired by lighting conditions, even in absolute darkness and magic darkness. You can use this ability for a number of rounds per day equal to 1/2 your Cleric level, these rounds do not need to be consecutive.
266	2	43	Obscuring Mist spell	1	320	NULL	Your domain has granted you the Obscuring Mist spell
267	2	43	Blindness/Deafness spell	2	522	NULL	Your domain has granted you the Blindness/Deafness spell (only to cause blindness)
268	2	43	Deeper Darkness spell	3	1168	NULL	Your domain has granted you the Deeper Darkness spell
269	2	43	Shadow Conjuration spell	4	1929	NULL	Your domain has granted you the Shadow Conjuration spell
270	2	43	Summon Monster V spell	5	2321	NULL	Your domain has granted you the Summon Monster V spell (summons 1d3 shadows)
271	2	43	Shadow Walk spell	6	2555	NULL	Your domain has granted you the Shadow Walk spell
272	2	43	Power Word Blind spell	7	2740	NULL	Your domain has granted you the Power Word Blind spell
273	2	43	Greater Shadow Evocation spell	8	4822	NULL	Your domain has granted you the Greater Shadow Evocation spell
274	2	43	Shades spell	9	4964	NULL	Your domain has granted you the Shades spell
275	2	43	Bleeding Touch (sp)	1	NULL	NULL	As a melee touch attack you can cause a living creature to take 1d6 points of damage per round. This effect persists for a number of rounds equal to 1/2 your Cleric level (minimum 1) or until stopped with a DC 15 Heal check or any spell or effect that heals damage. You can use this ability a number of times per day equal to 3 + your Wisdom modifier.
276	2	43	Death's Embrace (ex)	8	NULL	NULL	You heal damage instead of taking damage from channeled negative energy. If the channeled negative energy targets undead, you heal hit points just like undead in the area.
277	2	43	Cause Fear spell	1	111	NULL	Your domain has granted you the Cause Fear spell
278	2	43	Death Knell spell	2	606	NULL	Your domain has granted you the Death Knell spell
279	2	43	Animate Dead spell	3	1593	NULL	Your domain has granted you the Animate Dead spell
280	2	43	Death Ward spell	4	1694	NULL	Your domain has granted you the Death Ward spell
281	2	43	Slay Living spell	5	2293	NULL	Your domain has granted you the Slay Living spell
282	2	43	Create Undead spell	6	2412	NULL	Your domain has granted you the Create Undead spell
283	2	43	Destruction spell	7	2650	NULL	Your domain has granted you the Destruction spell
284	2	43	Create Greater Undead spell	8	4794	NULL	Your domain has granted you the Create Greater Undead spell
285	2	43	Wail of the Banshee spell	9	4989	NULL	Your domain has granted you the Wail of the Banshee spell
286	2	44	Destructive Smite (su)	1	NULL	NULL	You can make a single melee attack with a morale bonus on damage rolls equal to 1/2 your Cleric level (minimum 1). You must declare teh destructive smite before making the attack. You can use this ability a number of times per day equal to 3 + your Wisdom modifier.
287	2	44	Destructive Aura (su)	8	NULL	NULL	You can emit a 30-foot aura of destruction for a number of rounds per day equal to your Cleric level. All attacks made against creatures in this aura (including you) gain a morale bonus on damage equal to 1/2 your Cleric level and all critical threats are automatically confirmed. These rounds to not need to be consecutive.
288	2	44	True Strike spell	1	436	NULL	Your domain has granted you the True Strike spell
289	2	44	Shatter spell	2	917	NULL	Your domain has granted you the Shatter spell
290	2	44	Rage spell	3	1406	NULL	Your domain has granted you the Rage spell
291	2	44	Inflict Critical Wounds spell	4	1807	NULL	Your domain has granted you the Inflict Critical Wounds spell
292	2	44	Shout spell	5	1943	NULL	Your domain has granted you the Shout spell
293	2	44	Harm spell	6	2480	NULL	Your domain has granted you the Harm spell
294	2	44	Disintegrate spell	7	2423	NULL	Your domain has granted you the Disintegrate spell
295	2	44	Earthquake spell	8	4801	NULL	Your domain has granted you the Earthquake spell
296	2	44	Implosion spell	9	4931	NULL	Your domain has granted you the Implosion spell
297	2	45	Acid Dart (sp)	1	NULL	NULL	As a standard action you can unleash an acid dart targeting any foe within 30 feet as a ranged touch attack. This deals 1d6 points of acid damage +1 for every two cleric levels you possess. You can use this ability a number of times per day equal to 3 + your Wisdom modifier.
298	2	45	Acid Resistance (ex)	6	NULL	NULL	You gain resist acid 10, increasing to 20 at 12th level, and becomess immunity to acid at 20th level. 
299	2	45	Magic Stone spell	1	294	NULL	Your domain has granted you the Magic Stone spell
300	2	45	Soften Earth and Stone spell	2	930	NULL	Your domain has granted you the Soften Earth and Stone spell
301	2	45	Stone Shape spell	3	1958	NULL	Your domain has granted you the Stone Shape spell
302	2	45	Spike Stones spell	4	1953	NULL	Your domain has granted you the Spike Stones spell
303	2	45	Wall of Stone spell	5	2368	NULL	Your domain has granted you the Wall of Stone spell
304	2	45	Stoneskin spell	6	1959	NULL	Your domain has granted you the Stoneskin spell
305	2	45	Elemental Body IV spell (earth only)	7	2655	NULL	Your domain has granted you the Elemental Body IV spell (earth only)
306	2	45	Earthquake spell	8	4801	NULL	Your domain has granted you the Earthquake spell
307	2	45	Elemental Swarm spell (earth only)	9	4912	NULL	Your domain has granted you the Elemental Swarm spell (earth spell only)
308	2	46	Touch of Evil (sp)	1	NULL	NULL	You can cause a creature to become sickened as a melee touch attack. Creatures sickened by your touch count as good for the purpose of spells with the evil descriptor. This effect lasts for a number of rounds equal to 1/2 your cleric level (minimum 1). You can use this ability a number of times per day equal to 3 + your Wisdom modifier.
309	2	46	Scythe of Evil (su)	8	NULL	NULL	You can give a weapon the unholy special weapon quality for a number of rounds equal to 1/2 your cleric level (minimum 1). You can use this ability once per day at 8th level, and an additional time per day for every four levels beyond 8th.
310	2	46	Protection from Good spell	1	342	NULL	Your domain has granted you the Protection from Good spell
311	2	46	Align Weapon spell (evil only)	2	476	NULL	Your domain has granted you the Align Weapon spell (evil only)
312	2	46	Magic Circle Against Good spell	3	1334	NULL	Your domain has granted you the Magic Circle Against Good spell
313	2	46	Unholy Blight spell	4	1993	NULL	Your domain has granted you the Unholy Blight spell
314	2	46	Dispel Good spell	5	2104	NULL	Your domain has granted you the Dispel Good spell
315	2	46	Create Undead spell	6	2412	NULL	Your domain has granted you the Create Undead spell
316	2	46	Blasphemy spell	7	2636	NULL	Your domain has granted you the Blasphemy spell
317	2	46	Unholy Aura spell	8	4891	NULL	Your domain has granted you the Unholy Aura spell
318	2	46	Summon Monster IX spell (evil only)	9	4975	NULL	Your domain has granted you the Summon Monster IX spell (evil spell only)
319	2	47	Fire Bolt (sp)	1	NULL	NULL	As a standard action you can unleash scorching bolt of divine fire from your outstretched hand. You can target any single foe within 30 feet as a ranged touch attack wwith this bolt of fire. If you hit the foe, the fire bolt deals 1d6 points of fire damage + 1 point for every two cleric levels you possess. You can use this ability a number of times per day equal to 3 + your Wisdom modifier.
320	2	47	Fire Resistance (ex)	6	NULL	NULL	You gain resist fire 10, increasing to 20 at 12th level, and becomes immunity to fire at 20th level. 
321	2	47	Burning Hands spell	1	103	NULL	Your domain has granted you the Burning Hands spell
322	2	47	Produce Flame spell	2	339	NULL	Your domain has granted you the Produce Flame spell
323	2	47	Fireball spell	3	1217	NULL	Your domain has granted you the Fireball spell
324	2	47	Wall of Fire spell	4	2009	NULL	Your domain has granted you the Wall of Fire spell
325	2	47	Fire Shield spell	5	1732	NULL	Your domain has granted you the Fire Shield spell
326	2	47	Fire Seeds spell	6	2443	NULL	Your domain has granted you the Fire Seeds spell
327	2	47	Elemental Body IV spell (fire only)	7	2655	NULL	Your domain has granted you the Elemental Body IV spell (fire only)
328	2	47	Incendiary Cloud spell	8	4831	NULL	Your domain has granted you the Incendiary Cloud spell
329	2	47	Elemental Swarm spell (fire only)	9	4912	NULL	Your domain has granted you the Elemental Swarm spell (fire spell only)
330	2	48	Touch of Glory (sp)	1	NULL	NULL	You can touch a creature as a standard action and give it a bonus equal to your cleric level on a single Charisma-based skill check or Charisma ability check. This ability lasts for 1 hour or until the creature touched elects to apply the bonus to a roll. You can use this ability a number of times per day equal to 3 + your Wisdom modifier.
331	2	48	Divine Presence (su)	8	NULL	NULL	You can emit a 30-fit aura of divine presence for a number of rounds per day equal to your cleric level. All allies within this aura are treated as if under the effects of a sanctuary spell with a DC equal to 10 + 1/2 your cleric level + your Wisdom modifier. These rounds do not need to be consecutive. Activating this ability is a standard action. If an ally leaves the area or makes an attack, the effect ends for that ally. If you make an attack, the effect ends for everyone.
332	2	48	Shield of Faith spell	1	379	NULL	Your domain has granted you the Shield of Faith spell
333	2	48	Bless Weapon spell	2	88	NULL	Your domain has granted you the Bless Weapon spell
334	2	48	Searing Light spell	3	1437	NULL	Your domain has granted you the Searing Light spell
335	2	48	Holy Smite spell	4	1793	NULL	Your domain has granted you the Holy Smite spell
336	2	48	Righteous Might spell	5	2270	NULL	Your domain has granted you the Righteous Might spell
337	2	48	Undeath to Death spell	6	2603	NULL	Your domain has granted you the Undeath to Death spell
338	2	48	Holy Sword spell	7	1794	NULL	Your domain has granted you the Holy Sword spell
339	2	48	Holy Aura spell	8	4829	NULL	Your domain has granted you the Holy Aura spell
340	2	48	Gate spell	9	4919	NULL	Your domain has granted you the Gate spell
341	2	49	Touch of Good (sp)	1	NULL	NULL	You can touch a creature as a standard action, granting a sacred bonus on attack rolls, skill checks, ability checks, and saving throws equal to 1/2 your cleric level (minimum 1) for 1 round. You can use this ability a number of times per day equal to 3 + your Wisdom modifier.
342	2	49	Holy Lance (su)	8	NULL	NULL	You can give a weapon you touch the holy special weapon quality for a number of rounds equal to 1/2 your cleric level. You can use this ability once per day at 8th level, and an additional time per day for every four levels after 8th.
343	2	49	Protection From Evil spell	1	341	NULL	Your domain has granted you the Protection From Evil spell
344	2	49	Align Weapon spell (good only)	2	476	NULL	Your domain has granted you the Align Weapon spell (good only)
345	2	49	Magic Circle Against Evil spell	3	1333	NULL	Your domain has granted you the Magic Circle Against Evil spell
346	2	49	Holy Smite spell	4	1793	NULL	Your domain has granted you the Holy Smite spell
347	2	49	Dispel Evil spell	5	2103	NULL	Your domain has granted you the Dispel Evil spell
348	2	49	Blade Barrier spell	6	2393	NULL	Your domain has granted you the Blade Barrier spell
349	2	49	Holy Word spell	7	2690	NULL	Your domain has granted you the Holy Word spell
350	2	49	Holy Aura spell	8	4829	NULL	Your domain has granted you the Holy Aura spell
351	2	49	Summon Monster IX spell (good spell only)	9	4975	NULL	Your domain has granted you the Summon Monster IX spell (good spell only)
352	2	50	Rebuke Death (sp)	1	NULL	NULL	You can touch a living creature as a standard action, healing it for 1d4 points of damage + 1 for every two cleric levels you possess. You can only use this ability on a creature that is below 0 hit points. You can use this ability a number of times per day equal to 3 + your Wisdom modifier.
353	2	50	Healer's Blessing (su)	6	NULL	NULL	All of your cure spells are treated as if they were empowered, increasing the amount of damage healed by half (+50%). This does not apply to damage dealt to undead with a cure spell. This does not stack with the Empower Spell metamagic feat.
354	2	50	Cure Light Wounds spell	1	137	NULL	Your domain has granted you the Cure Light Wounds spell
355	2	50	Cure Moderate Wounds spell	2	594	NULL	Your domain has granted you the Cure Moderate Wounds spell
356	2	50	Cure Critical Wounds spell	3	1683	NULL	Your domain has granted you the Cure Critical Wounds spell
357	2	50	Cure Serious Wounds spell	4	1158	NULL	Your domain has granted you the Cure Serious Wounds spell
358	2	50	Breath of Life spell	5	2048	NULL	Your domain has granted you the Breath of Life spell
359	2	50	Heal spell	6	2482	NULL	Your domain has granted you the Heal spell
360	2	50	Regenerate spell	7	2748	NULL	Your domain has granted you the Regenerate spell
361	2	50	Mass Cure Critical Wounds spell	8	4837	NULL	Your domain has granted you the Mass Cure Critical Wounds spell
362	2	50	Mass Heal spell	9	4939	NULL	Your domain has granted you the Mass Heal spell
363	2	51	Lore Keeper (sp)	1	NULL	NULL	You can make a melee touch attack against a creature to learn about its abilities and weaknesses. With a successful attack you gain information as if you had made the appropriate Knowledge skill check with a result of 15 + your cleric level + your Wisdom modifier.
364	2	51	Remote Viewing (sp)	6	NULL	NULL	You can use clairvoyance/clairaudience as a spell-like ability using your cleric level as the caster level. You can use this ability for a number of rounds per day equal to your cleric level. These rounds do not need to be consecutive.
365	2	51	Comprehend Languages spell	1	130	NULL	Your domain has granted you the Comprehend Languages spell
366	2	51	Detect Thoughts spell	2	617	NULL	Your domain has granted you the Detect Thoughts spell
367	2	51	Speak With Dead spell	3	1489	NULL	Your domain has granted you the Speak With Dead spell
368	2	51	Divination spell	4	1706	NULL	Your domain has granted you the Divination spell
369	2	51	True Seeing spell	5	2599	NULL	Your domain has granted you the True Seeing spell
370	2	51	Find the Path spell	6	2442	NULL	Your domain has granted you the Find the Path spell
371	2	51	Legend Lore spell	7	2496	NULL	Your domain has granted you the Legend Lore spell
372	2	51	Discern Location spell	8	4799	NULL	Your domain has granted you the Discern Location spell
373	2	51	Foresight spell	9	4917	NULL	Your domain has granted you the Foresight spell
374	2	52	Touch of Law (sp)	1	NULL	NULL	You can touch a willing creature as a standard action, infusing it with the power of divine order and allowing it to treat all attack rolls, skill checks, ability checks, and saving throws for 1 round as if the natural d20 roll resulted in an 11. You can use this ability a number of times per day equal to 3 + your Wisdom modifier.
375	2	52	Staff of Order (su)	8	NULL	NULL	You can give a weapon touched the axiomatic special weapon quality for a number of rounds equal to 1/2 your cleric level. You can use this ability once per day at 8th level, and an additional time per day for every four levels after 8th.
376	2	52	Protection From Chaos spell	1	340	NULL	Your domain has granted you the Protection From Chaos spell
377	2	52	Align Weapon spell (law only)	2	476	NULL	Your domain has granted you the Align Weapon spell (law only)
378	2	52	Magic Circle Against Chaos spell	3	1332	NULL	Your domain has granted you the Magic Circle Against Chaos spell
379	2	52	Order's Wrath spell	4	1878	NULL	Your domain has granted you the Order's Wrath spell
380	2	52	Dispel Chaos spell	5	2102	NULL	Your domain has granted you the Dispel Chaos spell
381	2	52	Hold Monster spell	6	2174	NULL	Your domain has granted you the Hold Monster spell
382	2	52	Dictum spell	7	2651	NULL	Your domain has granted you the Dictum spell
383	2	52	Shield of Law spell	8	4866	NULL	Your domain has granted you the Shield of Law spell
384	2	52	Summon Monster IX spell (law only)	9	4975	NULL	Your domain has granted you the Summon Monster IX spell (law only)
385	2	53	Liberation (sp)	1	NULL	NULL	For a number of rounds per day equal to your cleric level, you can move normally regardless of magical effects that impede movement, as if you were affected by the Freedom of Movement spell. This effect occurs automatically as soon as it applies. These rounds do not need to be consecutive.
386	2	53	Freedom's Call (su)	8	NULL	NULL	You can emit a 30-foot aura of freedom for a number of rounds per day equal to your cleric level. Allies within this aura are not affected by the confused, grappled, frightened, panicked, paralyzed, pinned, or shaken conditions. This aura only suppresses these effects, and they return once the creature leaves the aura or when the aura ends, if applicable. These rounds do not need to be consecutive.
387	2	53	Remove Fear spell	1	354	NULL	Your domain has granted you the Remove Fear spell
388	2	53	Remove Paralysis spell	2	867	NULL	Your domain has granted you the Remove Paralysis spell
389	2	53	Remove Curse spell	3	1901	NULL	Your domain has granted you the Remove Curse spell
390	2	53	Freedom of Movement spell	4	1750	NULL	Your domain has granted you the Freedom of Movement spell
391	2	53	Break Enchantment spell	5	2047	NULL	Your domain has granted you the Break Enchantment spell
392	2	53	Greater Dispel Magic spell	6	2465	NULL	Your domain has granted you the Greater Dispel Magic spell
393	2	53	Refuge spell	7	4956	NULL	Your domain has granted you the Refuge spell
